CT 1,Ref,CT 2,Ref,CT 3,Ref,CT 4,Ref,CT 5,Ref
P+  3v4,P+  1, COM 3v5,COM 1, COM 6v8,COM 10, COM 4v11,COM 2, REC 4v5,REC 3, 
P+  1v2,P+  6, COM 1v10,COM 5, COM 2v11,COM 4, COM 6v9,COM 7, REC 3v6,REC 5, 
WARM UP  ,   ,P+  5v6,P+  2, COM 7v9,COM 11, REC 1v2,REC 6, WARM UP  ,   ,
POW 7v10,POW 5, INT 1v7,INT 9, INT 4v8,INT 10, INT 3v6,INT 11, POW 3v9,POW 8, 
POW 2v8,POW 10, INT 11v12,INT 3, INT 5v10,INT 6, INT 2v9,INT 4, POW 4v5,POW 9, 
,,,,,,,,,,
CT 1,Ref,CT 2,Ref,CT 3,Ref,CT 4,Ref,CT 5,Ref
POW 7v8,POW 1, INT 5v11,INT 12, INT 6v10,INT 2, POW 4v10,POW 9, POW 2v3,POW 6, 
POW 1v9,POW 7, INT 3v12,INT 10, INT 2v8,INT 11, INT 4v9,INT 5, POW 5v6,POW 2, 
P+  2v5,P+  4, COM 3v10,COM 6, COM 2v7,COM 8, REC 4v6,REC 2, REC 1v5,REC 3, 
P+  1v4,P+  2, COM 4v6,COM 10, COM 5v8,COM 7, COM 1v11,COM 3, REC 2v3,REC 1, 
,,,,,,,,,,
CT 1,Ref,CT 2,Ref,CT 3,Ref,CT 4,Ref,CT 5,Ref
P+  1v5,P+  6, COM 5v11,COM 9, COM 1v4,COM 8, REC 3v4,REC 1, REC 5v6,REC 2, 
P+  3v6,P+  5, COM 3v9,COM 11, COM 8v10,COM 1, REC 1v2,REC 3, P+  2v4,P+  1, 
POW 4v9,POW 10, INT 1v12,INT 9, INT 2v10,INT 7, POW 2v6,POW 7, POW 3v8,POW 1, 
POW 5v7,POW 3, INT 3v5,INT 10, INT 9v11,INT 2, INT 4v7,INT 1, POW 1v10,POW 4, 
,,,,,,,,,,
CT 1,Ref,CT 2,Ref,CT 3,Ref,CT 4,Ref,CT 5,Ref
POW 1v8,POW 4, INT 1v8,INT 9, INT 3v4,INT 12, POW 6v10,POW 7, POW 2v5,POW 3, 
POW 7v9,POW 8, INT 7v9,INT 8, INT 10v12,INT 4, INT 5v6,INT 3, POW 3v4,POW 6, 
P+  1v6,P+  3, COM 1v2,COM 5, COM 7v8,COM 9, REC 2v3,REC 5, REC 1v6,REC 4, 
P+  3v5,P+  6, COM 3v11,COM 7, COM 5v9,COM 1, COM 4v10,COM 2, REC 4v5,REC 6, 
,,,,,,,,,,
CT 1,Ref,CT 2,Ref,CT 3,Ref,CT 4,Ref,CT 5,Ref
P+  3v4,P+  5, COM 2v3,COM 6, COM 1v8,COM 11, REC 1v3,REC 6, P+  2v6,P+  1, 
P+  1v5,P+  4, COM 6v10,COM 1, COM 5v7,COM 3, COM 9v11,COM 8, REC 5v6,REC 1, 
POW 3v10,POW 5, INT 1v4,INT 7, INT 10v11,INT 12, INT 8v9,INT 6, POW 6v8,POW 1, 
POW 1v5,POW 6, INT 3v7,INT 8, INT 6v12,INT 10, INT 2v5,INT 1, POW 4v7,POW 8, 
,,,,,,,,,,
CT 1,Ref,CT 2,Ref,CT 3,Ref,CT 4,Ref,CT 5,Ref
POW 5v8,POW 3, INT 5v12,INT 7, INT 6v11,INT 8, POW 9v10,POW 2, POW 4v6,POW 7, 
POW 1v2,POW 5, INT 1v9,INT 11, INT 2v7,INT 6, INT 8v10,INT 5, POW 3v7,POW 9, 
WARM UP  ,   ,COM 2v8,COM 9, COM 4v7,COM 10, REC 3v5,REC 4, P+  4v5,P+  2, 
P+  2v3,P+  5, COM 1v6,COM 4, COM 9v10,COM 2, REC 2v4,REC 5, P+  1v6,P+  4, 
,,,,,,,,,,
CT 1,Ref,CT 2,Ref,CT 3,Ref,CT 4,Ref,CT 5,Ref
P+  3v5,P+  2, COM 3v7,COM 4, COM 2v6,COM 5, REC 2v6,REC 3, REC 1v5,REC 4, 
P+  1v4,P+  5, COM 4v9,COM 6, COM 1v5,COM 7, REC 3v4,REC 2, P+  2v6,P+  3, 
POW 5v9,POW 10, INT 1v10,INT 8, INT 3v9,INT 5, INT 2v6,INT 7, POW 2v4,POW 6, 
POW 8v10,POW 4, INT 7v11,INT 2, INT 4v12,INT 9, INT 5v8,INT 3, POW 1v6,POW 2, 
,,,,,,,,,,
CT 1,Ref,CT 2,Ref,CT 3,Ref,CT 4,Ref,CT 5,Ref
POW 2v9,POW 1, INT 6v9,INT 4, INT 7v8,INT 2, INT 1v11,INT 3, POW 6v7,POW 3, 
WARM UP  ,   ,INT 3v10,INT 1, INT 2v4,INT 6, POW 1v3,POW 9, WARM UP  ,   ,
P+  4v6,P+  3, COM 3v6,COM 11, COM 2v5,COM 4, REC 1v4,REC 2, REC 3v6,REC 5, 
P+  2v3,P+  6, COM 10v11,COM 6, COM 1v7,COM 3, COM 4v8,COM 5, REC 2v5,REC 1, 
,,,,,,,,,,
CT 1,Ref,CT 2,Ref,CT 3,Ref,CT 4,Ref,CT 5,Ref
P+  1v3,P+  4, COM 5v6,COM 2, COM 7v11,COM 3, COM 8v9,COM 10, REC 2v4,REC 6, 
P+  5v6,P+  3, COM 3v4,COM 9, COM 2v10,COM 8, REC 1v6,REC 4, P+  2v4,P+  1, 
POW 2v10,POW 8, INT 1v6,INT 11, INT 8v12,INT 5, INT 2v3,INT 4, POW 3v5,POW 4, 
POW 6v9,POW 2, INT 4v11,INT 1, INT 5v7,INT 12, POW 1v7,POW 5, POW 4v8,POW 10, 
,,,,,,,,,,
